PosNr;Beschreibung;Material;Menge;Laenge;Breite;Dicke;KanteVorne;KanteHinten;KanteLinks;KanteRechts;BelagOben;BelagUnten;FinishOben;FinishUnten;Bemerkung;Barcode1;Barcode2;Maserung
1.6;Boden;P.U963_ST9_19;1;1061,50;481,00;19,00;K.U963_ST9_08;K.U963_ST9_08;;;;;;;;;;
1.2;BodenOben;P.U963_ST9_19;1;1100,00;505,00;19,00;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;;;;;;;;
1.1;BodenUnten;P.U963_ST9_19;1;1100,00;505,00;19,00;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;;;;;;;;
1.13;Einlegeboden;P.U963_ST9_19;2;1061,30;473,00;19,00;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;;;;;;;;
1.9;Front;P.U963_ST9_19;1;160,25;1096,00;19,00;K.U963_ST9_2;K.U963_ST9_2;K.U963_ST9_2;K.U963_ST9_2;;;;;;FroL_Hoch 2Fronten_2SK_Tür_Test_1_1_Standard_Bearbeitung_1.iso;;
1.7;Front;P.U963_ST9_19;1;617,50;546,00;19,00;K.U963_ST9_2;K.U963_ST9_2;K.U963_ST9_2;K.U963_ST9_2;;;;;;SD88071.nc;;
1.10;Front;P.U963_ST9_19;1;160,25;1096,00;19,00;K.U963_ST9_2;K.U963_ST9_2;K.U963_ST9_2;K.U963_ST9_2;;;;;;FroR_Hoch 2Fronten_2SK_Tür_Test_1_1_Standard_Bearbeitung_1.iso;;
1.8;Front;P.U963_ST9_19;1;617,50;546,00;19,00;K.U963_ST9_2;K.U963_ST9_2;K.U963_ST9_2;K.U963_ST9_2;;;;;;SD88071.nc;;
1.5;Rückwand;P.U963_ST9_08;1;1073,50;924,00;8,00;;;;;;;;;;;;
1.11-7;Schubboden;P.U963_ST9_08;1;1029,50;470,00;8,00;;;;;;;;;;;;
1.12-7;Schubboden;P.U963_ST9_08;1;1029,50;470,00;8,00;;;;;;;;;;;;
1.11-4;Schubhinterstück;P.U963_ST9_16;1;1019,50;96,25;16,00;;K.U963_ST9_08;;;;;;;;;;
1.12-4;Schubhinterstück;P.U963_ST9_16;1;1019,50;86,75;16,00;;K.U963_ST9_08;;;;;;;;;;
1.11-5;Schubseite links;P.U963_ST9_16;1;470,00;122,25;16,00;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;;;;;;;;
1.12-5;Schubseite links;P.U963_ST9_16;1;470,00;112,75;16,00;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;;;;;;;;
1.11-6;Schubseite rechts;P.U963_ST9_16;1;470,00;122,25;16,00;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;;;;;;;;
1.12-6;Schubseite rechts;P.U963_ST9_16;1;470,00;112,75;16,00;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;K.U963_ST9_08;;;;;;;;
1.11-3;Schubvorderstück;P.U963_ST9_16;1;1019,50;96,25;16,00;;K.U963_ST9_08;;;;;;;;;;
1.12-3;Schubvorderstück;P.U963_ST9_16;1;1019,50;86,75;16,00;;K.U963_ST9_08;;;;;;;;;;
1.3;SeiteLinks;P.U963_ST9_19;1;912,00;505,00;19,00;K.U963_ST9_08;K.U963_ST9_08;;;;;;;;;;
1.4;SeiteRechts;P.U963_ST9_19;1;912,00;505,00;19,00;K.U963_ST9_08;K.U963_ST9_08;;;;;;;;;;
